study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJEB23009	SAMEA104347974	ERS1972952	ERX2228808	ERR2172365	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/005/ERR2172365/ERR2172365.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/005/ERR2172365/ERR2172365.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000023.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000023.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR217/005/ERR2172365	ftp.sra.ebi.ac.uk/vol1/err/ERR217/005/ERR2172365		
PRJEB23009	SAMEA104347975	ERS1972953	ERX2228809	ERR2172366	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/006/ERR2172366/ERR2172366.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/006/ERR2172366/ERR2172366.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000024.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000024.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR217/006/ERR2172366	ftp.sra.ebi.ac.uk/vol1/err/ERR217/006/ERR2172366		
PRJEB23009	SAMEA104347976	ERS1972954	ERX2228810	ERR2172367	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/007/ERR2172367/ERR2172367.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/007/ERR2172367/ERR2172367.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000025.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000025.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR217/007/ERR2172367	ftp.sra.ebi.ac.uk/vol1/err/ERR217/007/ERR2172367		
PRJEB23009	SAMEA104347977	ERS1972955	ERX2228811	ERR2172368	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/008/ERR2172368/ERR2172368.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/008/ERR2172368/ERR2172368.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000027.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000027.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR217/008/ERR2172368	ftp.sra.ebi.ac.uk/vol1/err/ERR217/008/ERR2172368		
PRJEB23009	SAMEA104347978	ERS1972956	ERX2228812	ERR2172369	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/009/ERR2172369/ERR2172369.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/009/ERR2172369/ERR2172369.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000028.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000028.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR217/009/ERR2172369	ftp.sra.ebi.ac.uk/vol1/err/ERR217/009/ERR2172369		
PRJEB23009	SAMEA104347979	ERS1972957	ERX2228813	ERR2172370	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/000/ERR2172370/ERR2172370.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/000/ERR2172370/ERR2172370.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000031.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000031.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR217/000/ERR2172370	ftp.sra.ebi.ac.uk/vol1/err/ERR217/000/ERR2172370		
PRJEB23009	SAMEA104347980	ERS1972958	ERX2228814	ERR2172371	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/001/ERR2172371/ERR2172371.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/001/ERR2172371/ERR2172371.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000101.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000101.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR217/001/ERR2172371	ftp.sra.ebi.ac.uk/vol1/err/ERR217/001/ERR2172371		
PRJEB23009	SAMEA104347981	ERS1972959	ERX2228815	ERR2172372	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/002/ERR2172372/ERR2172372.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/002/ERR2172372/ERR2172372.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000102.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000102.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR217/002/ERR2172372	ftp.sra.ebi.ac.uk/vol1/err/ERR217/002/ERR2172372		
PRJEB23009	SAMEA104347982	ERS1972960	ERX2228816	ERR2172373	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/003/ERR2172373/ERR2172373.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/003/ERR2172373/ERR2172373.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000104.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000104.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR217/003/ERR2172373	ftp.sra.ebi.ac.uk/vol1/err/ERR217/003/ERR2172373		
PRJEB23009	SAMEA104347983	ERS1972961	ERX2228817	ERR2172374	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/004/ERR2172374/ERR2172374.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/004/ERR2172374/ERR2172374.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000105.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000105.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR217/004/ERR2172374	ftp.sra.ebi.ac.uk/vol1/err/ERR217/004/ERR2172374		
PRJEB23009	SAMEA104347984	ERS1972962	ERX2228818	ERR2172375	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/005/ERR2172375/ERR2172375.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/005/ERR2172375/ERR2172375.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000106.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000106.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR217/005/ERR2172375	ftp.sra.ebi.ac.uk/vol1/err/ERR217/005/ERR2172375		
PRJEB23009	SAMEA104347985	ERS1972963	ERX2228819	ERR2172376	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/006/ERR2172376/ERR2172376.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/006/ERR2172376/ERR2172376.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000107.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000107.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR217/006/ERR2172376	ftp.sra.ebi.ac.uk/vol1/err/ERR217/006/ERR2172376		
PRJEB23009	SAMEA104347986	ERS1972964	ERX2228820	ERR2172377	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/007/ERR2172377/ERR2172377.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/007/ERR2172377/ERR2172377.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000108.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000108.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR217/007/ERR2172377	ftp.sra.ebi.ac.uk/vol1/err/ERR217/007/ERR2172377		
PRJEB23009	SAMEA104347987	ERS1972965	ERX2228821	ERR2172378	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/008/ERR2172378/ERR2172378.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/008/ERR2172378/ERR2172378.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000109.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000109.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR217/008/ERR2172378	ftp.sra.ebi.ac.uk/vol1/err/ERR217/008/ERR2172378		
PRJEB23009	SAMEA104347988	ERS1972966	ERX2228822	ERR2172379	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/009/ERR2172379/ERR2172379.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/009/ERR2172379/ERR2172379.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000110.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000110.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR217/009/ERR2172379	ftp.sra.ebi.ac.uk/vol1/err/ERR217/009/ERR2172379		
PRJEB23009	SAMEA104347989	ERS1972967	ERX2228823	ERR2172380	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/000/ERR2172380/ERR2172380.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/000/ERR2172380/ERR2172380.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000111.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000111.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR217/000/ERR2172380	ftp.sra.ebi.ac.uk/vol1/err/ERR217/000/ERR2172380		
PRJEB23009	SAMEA104347990	ERS1972968	ERX2228824	ERR2172381	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/001/ERR2172381/ERR2172381.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/001/ERR2172381/ERR2172381.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000112.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000112.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR217/001/ERR2172381	ftp.sra.ebi.ac.uk/vol1/err/ERR217/001/ERR2172381		
PRJEB23009	SAMEA104347991	ERS1972969	ERX2228825	ERR2172382	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/002/ERR2172382/ERR2172382.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/002/ERR2172382/ERR2172382.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000113.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000113.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR217/002/ERR2172382	ftp.sra.ebi.ac.uk/vol1/err/ERR217/002/ERR2172382		
PRJEB23009	SAMEA104347992	ERS1972970	ERX2228826	ERR2172383	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/003/ERR2172383/ERR2172383.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/003/ERR2172383/ERR2172383.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000114.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000114.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR217/003/ERR2172383	ftp.sra.ebi.ac.uk/vol1/err/ERR217/003/ERR2172383		
PRJEB23009	SAMEA104347993	ERS1972971	ERX2228827	ERR2172384	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/004/ERR2172384/ERR2172384.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/004/ERR2172384/ERR2172384.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000115.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000115.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR217/004/ERR2172384	ftp.sra.ebi.ac.uk/vol1/err/ERR217/004/ERR2172384		
PRJEB23009	SAMEA104347994	ERS1972972	ERX2228828	ERR2172385	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/005/ERR2172385/ERR2172385.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/005/ERR2172385/ERR2172385.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000120.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000120.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR217/005/ERR2172385	ftp.sra.ebi.ac.uk/vol1/err/ERR217/005/ERR2172385		
PRJEB23009	SAMEA104347995	ERS1972973	ERX2228829	ERR2172386	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/006/ERR2172386/ERR2172386.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/006/ERR2172386/ERR2172386.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000121.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000121.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR217/006/ERR2172386	ftp.sra.ebi.ac.uk/vol1/err/ERR217/006/ERR2172386		
PRJEB23009	SAMEA104347996	ERS1972974	ERX2228830	ERR2172387	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/007/ERR2172387/ERR2172387.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/007/ERR2172387/ERR2172387.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000122.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000122.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR217/007/ERR2172387	ftp.sra.ebi.ac.uk/vol1/err/ERR217/007/ERR2172387		
PRJEB23009	SAMEA104347997	ERS1972975	ERX2228831	ERR2172388	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/008/ERR2172388/ERR2172388.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/008/ERR2172388/ERR2172388.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000123.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000123.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR217/008/ERR2172388	ftp.sra.ebi.ac.uk/vol1/err/ERR217/008/ERR2172388		
PRJEB23009	SAMEA104347998	ERS1972976	ERX2228832	ERR2172389	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/009/ERR2172389/ERR2172389.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/009/ERR2172389/ERR2172389.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000124.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000124.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR217/009/ERR2172389	ftp.sra.ebi.ac.uk/vol1/err/ERR217/009/ERR2172389		
PRJEB23009	SAMEA104347999	ERS1972977	ERX2228833	ERR2172390	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/000/ERR2172390/ERR2172390.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/000/ERR2172390/ERR2172390.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000125.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000125.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR217/000/ERR2172390	ftp.sra.ebi.ac.uk/vol1/err/ERR217/000/ERR2172390		
PRJEB23009	SAMEA104348000	ERS1972978	ERX2228834	ERR2172391	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/001/ERR2172391/ERR2172391.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/001/ERR2172391/ERR2172391.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000126.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000126.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR217/001/ERR2172391	ftp.sra.ebi.ac.uk/vol1/err/ERR217/001/ERR2172391		
PRJEB23009	SAMEA104348001	ERS1972979	ERX2228835	ERR2172392	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/002/ERR2172392/ERR2172392.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/002/ERR2172392/ERR2172392.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000127.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000127.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR217/002/ERR2172392	ftp.sra.ebi.ac.uk/vol1/err/ERR217/002/ERR2172392		
PRJEB23009	SAMEA104348002	ERS1972980	ERX2228836	ERR2172393	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/003/ERR2172393/ERR2172393.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/003/ERR2172393/ERR2172393.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000128.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA111/ERA1116543/fastq/2538.1000128.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR217/003/ERR2172393	ftp.sra.ebi.ac.uk/vol1/err/ERR217/003/ERR2172393		
